last_name,rub_id_card_number,email,phone_number,date_of_birth,program_id,college_id,user_id
Ugyen Tshering,11805023,ugyen.tshering@rub.edu.bt,17444444,2000-07-12,1,1,1
Sangay Choden,11805024,sangay.choden@rub.edu.bt,17555555,1999-11-03,1,1,1
Phuntsho Wangdi,11805025,phuntsho.wangdi@rub.edu.bt,17666666,2000-04-18,1,1,1
Choki Dema,11805026,choki.dema@rub.edu.bt,17777777,2001-09-25,1,1,1
Dorji Tenzin,11805027,dorji.tenzin@rub.edu.bt,17888888,1999-12-08,1,1,1
Namgay Zangmo,11805028,namgay.zangmo@rub.edu.bt,17999999,2000-03-30,1,1,1
Rinchen Pema,11805029,rinchen.pema@rub.edu.bt,17101010,2001-06-14,1,1,1
Sonam Dorji,11805030,sonam.dorji@rub.edu.bt,17121212,1999-08-22,1,1,1
Tenzin Zangmo,11805031,tenzin.zangmo@rub.edu.bt,17131313,2000-10-05,1,1,1
Jigme Dorji,11805032,jigme.dorji@rub.edu.bt,17141414,2001-01-17,1,1,1
Karma Lhamo,11805033,karma.lhamo@rub.edu.bt,17151515,1999-04-09,1,1,1
Pema Wangmo,11805034,pema.wangmo@rub.edu.bt,17161616,2000-11-21,1,1,1
Tandin Wangchuk,11805035,tandin.wangchuk@rub.edu.bt,17171717,2001-03-06,1,1,1
Yeshey Dema,11805036,yeshey.dema@rub.edu.bt,17181818,1999-07-19,1,1,1
Wangchuk Dorji,11805037,wangchuk.dorji@rub.edu.bt,17191919,2000-09-11,1,1,1
Dawa Zangmo,11805038,dawa.zangmo@rub.edu.bt,17202020,2001-12-02,1,1,1
Nim Dorji,11805039,nim.dorji@rub.edu.bt,17212121,1999-02-14,1,1,1
Lhaden Tshering,11805040,lhaden.tshering@rub.edu.bt,17232323,2000-05-27,1,1,1
Chencho Wangmo,11805041,chencho.wangmo@rub.edu.bt,17242424,2001-08-16,1,1,1
Sangay Tenzin,11805042,sangay.tenzin@rub.edu.bt,17252525,1999-10-29,1,1,1
Kelzang Choden,11805043,kelzang.choden@rub.edu.bt,17262626,2000-12-13,1,1,1
Norbu Wangdi,11805044,norbu.wangdi@rub.edu.bt,17272727,2001-04-24,1,1,1
Yangchen Lhamo,11805045,yangchen.lhamo@rub.edu.bt,17282828,1999-06-07,1,1,1
Thinley Penjor,11805046,thinley.penjor@rub.edu.bt,17292929,2000-08-01,1,1,1
Deki Yangzom,11805047,deki.yangzom@rub.edu.bt,17303030,2001-11-15,1,1,1
Passang Dorji,11805048,passang.dorji@rub.edu.bt,17313131,1999-01-28,1,1,1
Sonam Lhamo,11805049,sonam.lhamo@rub.edu.bt,17323232,2000-03-11,1,1,1
