student_id,first_name,last_name,email,phone_number,cid,date_of_birth,gender,program_id,college_id,year_of_study,semester,gpa,status,enrollment_date,graduation_date,academic_standing,permanent_address,current_address,guardian_name,guardian_phone_number,guardian_relation
02240015,Tenzin,Lhamo,02240015.gcit@rub.edu.bt,+97517111222,11234567904,2001-01-10,Female,1,1,2,4,3.65,active,2023-01-15,,good,"Thimphu, Bhutan","Ladies Hostel Block B, Phuentsholing",Lhamo Zangmo,+97517888111,Mother
02240016,Jigme,Dorji,02240016.gcit@rub.edu.bt,+97517222333,11234567905,2000-03-15,Male,1,1,3,5,3.45,active,2022-01-15,,good,"Phuentsholing, Bhutan","CST Hostel Block D, Phuentsholing",Dorji Tshering,+97517888222,Father
02240017,Dawa,Tshering,02240017.gcit@rub.edu.bt,+97517333444,11234567906,2001-09-20,Male,1,1,1,2,2.88,active,2024-01-15,,good,"Samtse, Bhutan","Off-campus, Phuentsholing",Tshering Wangmo,+97517888333,Mother
02240018,Chimi,Zangmo,02240018.gcit@rub.edu.bt,+97517444555,11234567907,2000-06-25,Female,1,1,4,7,3.95,active,2021-01-15,,good,"Mongar, Bhutan","Ladies Hostel Block C, Phuentsholing",Zangmo Dema,+97517888444,Mother
02240019,Passang,Wangchuk,02240019.gcit@rub.edu.bt,+97517555666,11234567908,2001-12-05,Male,1,1,2,3,3.12,active,2023-01-15,,good,"Trashigang, Bhutan","CST Hostel Block A, Phuentsholing",Wangchuk Dorji,+97517888555,Father
02240020,Sonam,Dema,02240020.gcit@rub.edu.bt,+97517666777,11234567909,2002-02-14,Female,1,1,1,1,3.75,active,2024-08-01,,good,"Paro, Bhutan","Ladies Hostel Block A, Phuentsholing",Dema Choden,+97517888666,Mother
02240021,Karma,Choden,02240021.gcit@rub.edu.bt,+97517777888,11234567910,2000-08-30,Female,1,1,3,6,3.58,active,2022-01-15,,good,"Punakha, Bhutan","Private Accommodation, Phuentsholing",Choden Wangmo,+97517888777,Mother
02240022,Ugyen,Tshering,02240022.gcit@rub.edu.bt,+97517888999,11234567911,2001-05-18,Male,1,1,2,4,2.95,active,2023-01-15,,good,"Bumthang, Bhutan","CST Hostel Block C, Phuentsholing",Tshering Dorji,+97517888888,Father
02240023,Pema,Lhaden,02240023.gcit@rub.edu.bt,+97517999000,11234567912,2000-11-22,Female,1,1,4,8,3.82,active,2021-01-15,,good,"Wangdue, Bhutan","Ladies Hostel Block D, Phuentsholing",Lhaden Zangmo,+97517888999,Mother
02240024,Dorji,Wangmo,02240024.gcit@rub.edu.bt,+97517000111,11234567913,2001-04-08,Female,1,1,2,3,3.28,active,2023-01-15,,good,"Haa, Bhutan","Off-campus Shared, Phuentsholing",Wangmo Deki,+97517889000,Mother
02240025,Kinzang,Namgay,02240025.gcit@rub.edu.bt,+97517111000,11234567914,2002-07-12,Male,1,1,1,1,3.15,active,2024-08-01,,good,"Trongsa, Bhutan","CST Hostel Block B, Phuentsholing",Namgay Tshering,+97517889111,Father
02240026,Tandin,Zangmo,02240026.gcit@rub.edu.bt,+97517222111,11234567915,2001-10-29,Female,1,1,1,2,3.42,active,2024-01-15,,good,"Gasa, Bhutan","Ladies Hostel Block B, Phuentsholing",Zangmo Choden,+97517889222,Mother
02240027,Namgay,Dorji,02240027.gcit@rub.edu.bt,+97517333222,11234567916,2000-01-05,Male,1,1,3,5,2.78,active,2022-01-15,,probation,"Zhemgang, Bhutan","Off-campus, Phuentsholing",Dorji Wangchuk,+97517889333,Father
02190001,Rinchen,Tshering,02190001.gcit@rub.edu.bt,+97517444333,11234567917,1998-12-20,Male,1,1,4,8,3.72,graduated,2019-01-15,2023-06-30,good,"Thimphu, Bhutan",,Tshering Penjor,+97517889444,Father
02240028,Tashi,Dema,02240028.gcit@rub.edu.bt,+97517555444,11234567918,2001-03-17,Female,1,1,2,4,3.51,active,2023-01-15,,good,"Phuentsholing, Bhutan","Ladies Hostel Block C, Phuentsholing",Dema Yangzom,+97517889555,Mother
